DATA_NAME	PC1	PC2	PC3	PC4	PC5	PC6
L1_EK11_1	-4.071454e-02	-7.786492e-02	2.870406e-02	-3.721927e-02	7.972788e-02	4.702373e-02
L1_EK12_1	6.656781e-02	-1.106563e-01	-1.127678e-01	-3.073762e-02	3.893464e-02	6.324168e-02
L1_EK13_1	-7.385097e-03	-5.978516e-02	-1.345186e-02	6.378419e-03	2.579708e-02	9.054899e-03
L1_EK14_1	-2.104194e-03	-9.896858e-03	3.143367e-02	-3.201542e-02	3.611142e-02	3.058991e-02
L1_EK15_1	6.231284e-02	-6.544441e-02	-4.170529e-02	-1.954331e-02	1.727670e-02	5.799817e-02
L1_EK16_1	3.041206e-02	7.384972e-03	2.643706e-02	-1.017957e-02	2.918066e-02	1.488143e-02
L1_EK17_1	5.674532e-02	-4.885218e-02	-3.203799e-02	-2.410670e-02	2.468105e-02	2.534936e-02
L1_EK18_1	3.546459e-03	-1.544260e-02	4.441678e-02	-2.089154e-02	3.213565e-02	1.782587e-03
L1_EK2_1	-1.525121e-02	-5.531495e-02	-2.764118e-02	-3.662541e-02	8.732305e-03	3.413509e-04
L1_EK3_1	-4.795219e-03	-3.831522e-02	-9.406981e-03	3.599562e-03	-1.033098e-02	-1.221168e-02
L1_EK4_1	1.249881e-02	-4.791700e-02	-1.034517e-02	-9.479646e-04	1.874531e-02	3.296261e-02
L1_EK5_1	6.994811e-02	-4.136191e-02	-4.282817e-02	-5.261982e-04	-1.688880e-03	4.012377e-02
L1_EK6_1	4.398837e-02	3.081932e-03	4.329707e-02	-2.214380e-03	7.236094e-02	-1.531323e-02
L1_EK7_1	3.380940e-02	-8.413568e-02	4.162790e-02	-8.604776e-02	2.773066e-02	-3.266119e-03
L1_EK9_1	5.880352e-04	-3.152777e-02	1.604610e-03	3.161587e-02	2.987935e-02	-8.231088e-03
L1_LA1_1	-4.257297e-02	-7.060537e-03	5.006308e-03	1.250884e-02	1.845127e-02	3.228309e-02
L1_LA15_1	-4.295230e-03	-6.411104e-02	4.558227e-02	-4.336471e-02	1.308765e-02	-3.344896e-02
L1_LA16_1	-1.780615e-02	-7.296102e-03	3.915780e-02	-4.381872e-02	-4.413040e-03	-1.814284e-02
L1_LA18_1	6.293768e-02	9.592519e-02	5.520677e-02	-3.844417e-02	1.304126e-02	2.087235e-02
L1_LA2_1	-1.242720e-02	8.627993e-02	4.164403e-02	-5.561047e-02	-3.948333e-02	4.581427e-03
L1_LA4_1	3.354998e-01	3.899394e-01	-1.706292e-01	2.071822e-02	2.421070e-03	-4.659043e-02
L1_LA9_1	1.838160e-02	-5.660567e-02	5.617462e-02	-3.877433e-02	1.488232e-02	-2.747902e-02
L1_LB1_1	-2.915451e-02	-6.014433e-03	6.394134e-03	-1.667388e-02	3.070448e-02	1.757495e-02
L1_LB13_1	4.949324e-01	-3.163134e-02	2.466016e-02	-3.095141e-03	4.044901e-02	2.636905e-02
L1_LB19_1	1.503546e-02	8.945945e-02	4.138475e-02	6.476930e-04	3.151707e-02	-1.597388e-02
L1_LB4_1	6.856417e-02	4.893620e-02	8.033351e-02	-4.358682e-02	-2.684977e-03	-5.499671e-04
L1_LB6_1	5.245441e-02	1.402110e-01	9.939401e-02	-1.734808e-02	1.943631e-02	-5.065104e-03
L1_LB7_1	1.793203e-02	2.172800e-01	-6.801233e-04	-2.911756e-02	-3.306377e-02	3.489641e-03
L1_LB8_1	4.290717e-01	1.728110e-01	-5.023223e-03	3.630675e-02	1.298780e-02	-3.930781e-02
L1_LB9_1	3.270439e-02	-7.867412e-02	5.150908e-02	-6.004228e-03	-1.719798e-02	-1.599895e-02
L1_LC12_1	-1.159272e-01	2.709358e-01	-1.111105e-01	-3.225561e-02	-1.088517e-03	-4.972934e-02
L1_LC14_1	-2.654928e-02	-3.645885e-02	1.591303e-02	-1.779988e-02	3.163323e-02	-2.526643e-02
L1_LC15_1	2.509621e-01	8.145695e-02	-1.190746e-02	4.940148e-03	3.210759e-02	1.419054e-02
L1_LC17_1	-8.946381e-03	3.032753e-03	4.527958e-02	-1.605332e-02	9.017772e-03	-2.858644e-03
L1_LC18_1	-2.475662e-02	-8.049988e-03	-2.095999e-02	-3.729692e-02	2.052487e-02	-3.669987e-02
L1_LC2_1	1.372521e-01	1.390648e-01	4.402044e-02	-6.165699e-03	1.378273e-02	1.931296e-02
L1_LC4_1	-2.345418e-02	2.290750e-01	5.499022e-02	1.459023e-03	-1.245922e-02	4.435683e-02
L1_LC5_1	-8.143224e-03	1.561565e-01	4.032178e-02	-2.672825e-02	-5.474945e-02	1.498299e-02
L1_LC7_1	-4.899990e-02	-4.009810e-02	1.917459e-02	2.667750e-02	-7.560793e-03	1.577950e-02
L1_LD1_1	-6.158575e-02	2.014812e-01	-2.459026e-02	-3.469990e-02	3.797575e-03	-1.674321e-02
L1_LD10_1	2.830123e-02	-6.856684e-02	4.117800e-02	-5.070643e-02	5.658919e-03	6.055124e-03
L1_LD12_1	-1.425507e-03	1.844234e-02	3.847186e-02	3.323961e-03	1.453667e-02	7.554601e-04
L1_LD13_1	7.887327e-02	-3.208108e-02	2.521599e-02	-1.334097e-02	1.278632e-03	-1.970128e-02
L1_LD18_1	7.422465e-04	6.117948e-02	7.264421e-02	3.622391e-03	1.110009e-02	9.893758e-03
L1_LD3_1	5.579483e-02	1.327973e-01	2.669538e-02	1.347214e-02	2.869288e-02	5.117689e-02
L1_LD4_1	3.131057e-03	-4.294403e-02	5.787211e-02	-5.352840e-02	-1.788901e-02	-1.026857e-02
L1_LD7_1	-7.175177e-03	3.104528e-01	-1.002946e-02	-5.913353e-03	-1.623376e-02	1.062035e-02
L1_LD9_1	1.904314e-02	3.765924e-02	3.770842e-02	1.646913e-02	2.262096e-02	2.477029e-02
L1_LE1_1	1.618404e-01	-2.783936e-02	1.180093e-01	-4.507022e-02	4.133117e-02	4.632488e-03
L1_LE11_1	2.741237e-02	1.490317e-01	1.054074e-01	-1.930071e-02	4.075025e-02	3.964449e-02
L1_LE13_1	3.703785e-01	2.283388e-01	-6.944449e-02	8.747997e-02	9.999845e-03	2.057005e-02
L1_LE14_1	1.454676e-01	-1.083986e-02	2.231155e-02	-3.172148e-02	1.394784e-02	2.925024e-02
L1_LE15_1	9.632648e-04	-1.349658e-01	9.748843e-02	-6.103646e-02	-9.443629e-03	-6.852398e-02
L1_LE18_1	-3.281072e-02	1.737550e-01	7.092893e-02	-8.106634e-02	1.044679e-02	2.135700e-02
L1_LE3_1	-1.086216e-03	-9.472880e-02	7.394688e-02	-5.539107e-02	-1.452775e-02	-2.519714e-02
L1_LE7_1	1.858807e-01	-8.911247e-02	9.312976e-02	-6.330807e-02	2.487962e-02	-1.393909e-02
L1_LE8_1	2.969668e-02	1.119757e-01	4.009160e-02	-4.516191e-02	-9.670233e-03	3.409395e-02
L1_LF1_1	3.082407e-02	-9.360817e-02	5.054170e-02	-3.434492e-02	-5.066216e-02	-8.099032e-02
L1_LF10_1	-9.754547e-03	-8.490461e-02	8.856292e-02	-5.630035e-02	-1.171914e-03	-1.905061e-02
L1_LF11_1	6.052608e-02	-1.331194e-01	2.557303e-03	-4.055184e-02	-9.294759e-02	-9.266085e-02
L1_LF17_1	2.095223e-02	1.714002e-01	7.916807e-02	-4.948107e-02	6.991536e-02	4.855616e-02
L1_LF18_1	1.509915e-02	-6.659567e-02	4.434611e-02	-5.688223e-02	1.592810e-02	-2.845739e-02
